Year,Area,SubArea,Address,BuildingType,LandArea,Pricepsf,Price,Tenure,BuiltUp,min_dist_airport_10km,min_dist_hospital_2km,min_dist_school_2km,dist_conv_store_2km,dist_train_10km,dist_min_police_2km,dist_bus_500m,no_hospital_2km,no_train_station_10km,no_conv_store_2km,no_manufacturing_1km,no_police_2km,no_bus_station_500m,no_school_1km,Population,CPI,CityArea.km2.,Pop.Density
2017,Semenyih,KAWASAN REZAB MELAYU SUNGAI PENING-PENING,OFF BATU 26,AGRICULTURE PLOT,270072,2,600000,FREEHOLD,0 ftA2,7145.391958,1992.513231,NA,1808.810087,4981.943378,NA,380.6373371,1,5,2,1,0,2,0,121681.8,120.25,120,1014.015
2017,Semenyih,KAWASAN REZAB MELAYU SUNGAI PENING-PENING,OFF BATU 26,AGRICULTURE PLOT,187308,3,600000,FREEHOLD,0 ftA2,7145.391958,1992.513231,NA,1808.810087,4981.943378,NA,380.6373371,1,5,2,1,0,2,0,121681.8,120.25,120,1014.015
2017,Semenyih,KAWASAN REZAB MELAYU SUNGAI PENING-PENING,OFF BATU 26,AGRICULTURE PLOT,52272,5,250000,FREEHOLD,0 ftA2,7145.391958,1992.513231,NA,1808.810087,4981.943378,NA,380.6373371,1,5,2,1,0,2,0,121681.8,120.25,120,1014.015
2017,Semenyih,KAWASAN REZAB MELAYU SUNGAI PENING-PENING,OFF BATU 26,AGRICULTURE PLOT,41549,4,167500,FREEHOLD,0 ftA2,7145.391958,1992.513231,NA,1808.810087,4981.943378,NA,380.6373371,1,5,2,1,0,2,0,121681.8,120.25,120,1014.015
2016,Semenyih,JALAN BANGI,JALAN BANGI LAMA(LOT 23846),DEVELOPMENT LAND,27879,9,260000,FREEHOLD,0 ftA2,7145.391958,1992.513231,NA,1808.810087,4981.943378,NA,380.6373371,1,5,2,1,0,2,0,117999.3,116.18,120,983.3275
2017,Semenyih,OFF JALAN SEMENYIH,OFF TAMAN HARMONI,DEVELOPMENT LAND,261360,32,8338000,FREEHOLD,0 ftA2,7145.391958,1992.513231,NA,1808.810087,4981.943378,NA,380.6373371,1,5,2,1,0,2,0,121681.8,120.25,120,1014.015
2017,Semenyih,OFF JALAN BANGI,OFF KAMPUNG SUNGAI TANGKAS,DEVELOPMENT LAND,191664,19,3612660,FREEHOLD,0 ftA2,7145.391958,1992.513231,NA,1808.810087,4981.943378,NA,380.6373371,1,5,2,1,0,2,0,121681.8,120.25,120,1014.015
2017,Serendah,PRIMA BERUNTUNG,OFF BUKIT BERUNTUNG,EMPTY PLOT - DEVELOPMENT PLOT,56628,8,432299,FREEHOLD,0 ftA2,1870.682461,NA,NA,85.6725321,NA,1681.040451,NA,0,0,16,20,3,0,0,30781.15,120.25,129,238.6135659
2017,Serendah,PRIMA BERUNTUNG,OFF BUKIT BERUNTUNG,EMPTY PLOT - DEVELOPMENT PLOT,283140,8,2129961,FREEHOLD,0 ftA2,1870.682461,NA,NA,85.6725321,NA,1681.040451,NA,0,0,16,20,3,0,0,30781.15,120.25,129,238.6135659
2017,Serendah,BUKIT BERUNTUNG,20 JALAN CEMPAKA,DETACHED PLOT - RESIDENTIAL USE,21786,14,304136,FREEHOLD,0 ftA2,5508.225277,NA,264.1991267,NA,155.7734043,NA,NA,0,7,0,2,0,0,3,30781.15,120.25,129,238.6135659
2017,Serendah,BUKIT BERUNTUNG,JALAN KAMUNTING 2,DETACHED PLOT - INDUSTRIAL USE,65340,59,3935595,FREEHOLD,0 ftA2,1048.82154,NA,NA,NA,3790.25742,NA,NA,0,10,0,0,0,0,0,30781.15,120.25,129,238.6135659
2017,Shah Alam,100 D KAMPUNG LOMBONG,JALAN LOMBONG TIMAH 3,EMPTY PLOT - DEVELOPMENT PLOT,8805,41,357000,LEASEHOLD,0 ftA2,NA,1556.809405,396.8664203,NA,3778.164933,NA,NA,1,3,0,0,0,0,5,645523.9,120.25,290.3,2223.644161
2017,Shah Alam,100 D KAMPUNG LOMBONG,JALAN LOMBONG TIMAH 3,DETACHED PLOT - RESIDENTIAL USE,4941,42,208989,LEASEHOLD,0 ftA2,NA,1556.809405,396.8664203,NA,3778.164933,NA,NA,1,3,0,0,0,0,5,645523.9,120.25,290.3,2223.644161
2017,Shah Alam,100 D KAMPUNG LOMBONG,JALAN LOMBONG TIMAH 3,EMPTY PLOT - DEVELOPMENT PLOT,4941,44,214987,LEASEHOLD,0 ftA2,NA,1556.809405,396.8664203,NA,3778.164933,NA,NA,1,3,0,0,0,0,5,645523.9,120.25,290.3,2223.644161
2017,Shah Alam,100 D KAMPUNG LOMBONG,JALAN LOMBONG TIMAH 3,DETACHED PLOT - RESIDENTIAL USE,4994,53,265000,LEASEHOLD,0 ftA2,NA,1556.809405,396.8664203,NA,3778.164933,NA,NA,1,3,0,0,0,0,5,645523.9,120.25,290.3,2223.644161
2017,Shah Alam,100 D KAMPUNG LOMBONG,JALAN LOMBONG TIMAH 3,DETACHED PLOT - RESIDENTIAL USE,4994,47,237000,LEASEHOLD,0 ftA2,NA,1556.809405,396.8664203,NA,3778.164933,NA,NA,1,3,0,0,0,0,5,645523.9,120.25,290.3,2223.644161
